ma,vol_target,band,cagr,sharpe,max_dd,in_mkt,dsr,sr_expected_max_luck
250,0.3,0.05,0.059049296628329584,0.556279844684996,-0.21817276333073987,0.5429936305732485,0.8362458253877085,0.014893105213576249
250,0.3,0.15,0.06021758476237715,0.5639883010554281,-0.21817276333074176,0.5429936305732485,0.8420038509821577,0.014893105213576249
250,0.3,0.3,0.06114880038830628,0.5725712138039635,-0.21496656647544377,0.5429936305732485,0.8480886667132064,0.014893105213576249
300,0.08,0.05,0.049490524997535035,0.8314653960775045,-0.13925914795846062,0.5314490445859873,0.9664082175579769,0.014893105213576249
300,0.08,0.15,0.0479008556803302,0.7945202831567549,-0.14367510987197407,0.5262738853503185,0.9565580983301994,0.014893105213576249
300,0.08,0.3,0.06018455629467856,0.9314117063157822,-0.13868004087277375,0.5628980891719745,0.9828460980107294,0.014893105213576249
300,0.1,0.05,0.05639868528175973,0.783688594000627,-0.16715879103849673,0.5314490445859873,0.9537036408373483,0.014893105213576249
300,0.1,0.15,0.05623992269986644,0.7673463637200869,-0.17788038294205244,0.5242834394904459,0.9489498781806214,0.014893105213576249
300,0.1,0.3,0.07022631220845432,0.8988610952054441,-0.15827776505760371,0.5680732484076433,0.9781732606241446,0.014893105213576249
300,0.12,0.05,0.059835448209834,0.7272527353474838,-0.19264884273281324,0.5314490445859873,0.9340154237366376,0.014893105213576249
300,0.12,0.15,0.060529771515092534,0.7385524000467223,-0.20365917163928415,0.5314490445859873,0.9394680133150186,0.014893105213576249
300,0.12,0.3,0.062181548239470086,0.7305063202531703,-0.1837386762326132,0.5688694267515924,0.9355677205117436,0.014893105213576249
300,0.16,0.05,0.06368668114545062,0.6737052070149864,-0.22007349812881893,0.5314490445859873,0.9095466909095649,0.014893105213576249
300,0.16,0.15,0.06579347552582893,0.6885781023004718,-0.22013654716008657,0.5314490445859873,0.9167647186480574,0.014893105213576249
300,0.16,0.3,0.06770890829164111,0.6869096409433245,-0.21602716750380946,0.5262738853503185,0.9143745824557338,0.014893105213576249
300,0.2,0.05,0.06490831347645076,0.6423652729557097,-0.21963541603391223,0.5314490445859873,0.8915146010403984,0.014893105213576249
300,0.2,0.15,0.06384722546509392,0.6297618337528397,-0.22021331805954691,0.5314490445859873,0.8842340904329451,0.014893105213576249
300,0.2,0.3,0.06318000438393367,0.6145510460172533,-0.21459000599461076,0.5242834394904459,0.8753469961208915,0.014893105213576249
300,0.3,0.05,0.06280501084840595,0.5878784520715475,-0.21775687099311347,0.5314490445859873,0.858491990311135,0.014893105213576249
300,0.3,0.15,0.06397744209115719,0.5954658831249919,-0.21775687099311336,0.5314490445859873,0.8636274817838319,0.014893105213576249
300,0.3,0.3,0.06491196009383016,0.604135460203649,-0.21454896860410877,0.5314490445859873,0.8691575310258695,0.014893105213576249
